"Top of Interval z(i) (cm)","Mid Depth zi (cm)","Inventory delta Ai dpm/cm^2","Inventory Uncertainty u(delta Ai) dpm/cm^2","Inventory Below A(i) dpm/cm^2","Inventory Below Uncertainty u(A(i)) dpm/cm^2","Age t(i) yr","Age Uncertainty u(t(i)) yr","Year CE","Mass Accumulation Rate r(i) g/(cm^2 yr)","Mass Accumulation Rate Uncertainty u(r(i)) g/(cm^2 yr)","Dry Bulk Density Section ri g/cm^3","Dry Bulk Density Section Uncertainty u(ri) g/cm^3","Dry Bulk Density Layer r(i) g/cm^3","Dry Bulk Density Layer Uncertainty u(r(i)) g/cm^3","Sediment Accumulation Rate s(i) cm/yr","Sediment Accumulation Rate Uncertainty U(s(i)) cm/yr"
17,,,,12.6812557461783,0.35044109984909,43.8507176102105,0.719650754285097,1977.74356742611,0.0951227205233774,0.00379417216608589,,,0.27081262015,0.0035848523572581,0.351249216047207,0.0147617117060293
,17.5,1.01140492221104,0.0488859422345736,,,,,,,,0.2714458912,0.00507364739663284,,,,
18,,,,11.6698508239673,0.347014594960036,46.5163501340529,0.789108535438305,1975.07793490227,0.0993446544163702,0.00437727191568579,,,0.2716829012,0.00351989777219553,0.365663992756163,0.0167937691251414
,18.5,0.978776002727359,0.0484576706160339,,,,,,,,0.2719199112,0.00488024829301431,,,,
19,,,,10.6910748212399,0.343614585362359,49.3257601560016,0.868095383975826,1972.26852488032,0.0931595329592589,0.00430883069728158,,,0.2699388717,0.00341379448351941,0.345113441323089,0.0165481751452138
,19.5,0.953167169985886,0.0476345238835657,,,,,,,,0.2679578322,0.00477484530653728,,,,
20,,,,9.73790765125406,0.340296834261107,52.3206563762734,0.959676331966219,1969.27362866005,0.0977596475877113,0.00506091394164411,,,0.29674907705,0.00338592187420881,0.329435388846178,0.0174638451931046
,20.5,0.864215644919619,0.0555495951560428,,,,,,,,0.3255403219,0.00480194960944216,,,,
21,,,,8.87369200633444,0.335732300927586,55.3011956203373,1.05503310638801,1966.29308941599,0.105990198221795,0.00625651056599983,,,0.32597923715,0.00336913615745689,0.32514401576142,0.0194849475958332
,21.5,0.837686859380256,0.0555536205380708,,,,,,,,0.3264181524,0.00472711262170807,,,,
22,,,,8.03600514695419,0.331104172627352,58.4813303217123,1.16558320725978,1963.11295471461,0.0934421067025345,0.00564133469856547,,,0.32965242265,0.00333082973592347,0.283456453774478,0.0173509906102562
,22.5,0.931008028511339,0.0568243664539992,,,,,,,,0.3328866929,0.00469383778805108,,,,
23,,,,7.10499711844285,0.326191607047675,62.430365861469,1.3187861024279,1959.16391917485,0.0738981508624573,0.00447768966991195,,,0.33197988595,0.00327021270010033,0.222598277757066,0.0136649096737995
,23.5,1.05910850488905,0.0568837023665109,,,,,,,,0.331073079,0.00455467355965867,,,,
24,,,,6.0458886135538,0.321193413558596,67.6072808064932,1.5516222295902,1953.98700422983,0.0665478305582002,0.00449885536366466,,,0.31645927915,0.00323606770130081,0.210288763650558,0.0143779384842205
,24.5,0.744512364967839,0.051398721312917,,,,,,,,0.3018454793,0.0045982045881578,,,,
25,,,,5.30137624858596,0.317054223061009,71.8218101468865,1.76695884460325,1949.77247488944,0.0675835159731764,0.00519618743080681,,,0.307591888,0.00329626294944418,0.219718135002235,0.0170564245559321
,25.5,0.759911355087016,0.0532868244216359,,,,,,,,0.3133382967,0.00472418377002402,,,,
26,,,,4.54146489349894,0.312544228396363,76.7837508221025,2.05691364956911,1944.81053421422,0.0592487761665079,0.00502037572323004,,,0.3070097695,0.00341016436454564,0.192986614930858,0.0164923998464163
,26.5,0.708056475988714,0.0512644021400951,,,,,,,,0.3006812423,0.00491924503149718,,,,
27,,,,3.83340841751023,0.308311296869084,82.2196530436671,2.42941177494876,1939.37463199266,0.0517997617331524,0.00493811270469974,,,0.3062032065,0.00357784252251595,0.169167927159353,0.016247599452848
,27.5,0.704553854924565,0.0530882573862549,,,,,,,,0.3117251707,0.00519661974592942,,,,
28,,,,3.12885456258567,0.303706260562385,88.7328899571226,2.96286215426093,1932.8613950792,0.051129222495752,0.00588300391378284,,,0.30763446735,0.00366353408777283,0.166201215800639,0.0192255094254006
,28.5,0.472324092162947,0.0510509083195578,,,,,,,,0.303543764,0.00516537232591326,,,,
29,,,,2.65653047042272,0.299384865122697,93.9812004283825,3.46452715849966,1927.61308460794,0.0557408415999733,0.00767840806484268,,,0.3152381091,0.00358800007085105,0.176821393070503,0.0244404900285631
,29.5,0.462944537315739,0.0547550950410529,,,,,,,,0.3269324542,0.00498135591665543,,,,
30,,,,2.19358593310698,0.294335144064688,100.122283188541,4.15388802174619,1921.47200184778,0.0499399612146929,0.00795700505170216,,,0.3293042108,0.00356954033792817,0.151652968825909,0.024218936398663
