"Mid Depth zi (cm)","Total Pb-210 dmp/g","Total Pb-210 Uncertainty u(Pb-210) dmp/g","Supported Pb-210 dmp/g","Supported Pb-210 Uncertainty u(sPb-210) dmp/g","Excess Pb-210 Ci dmp/g","Excess Pb-210 Uncertainty u(Ci) dmp/g","Excess Pb-210 C(i) dmp/g","Excess Pb-210 Uncertainty u(C(i)) dmp/g","Inventory delta Ai dpm/cm^2","Inventory Uncertainty u(delta Ai) dpm/cm^2","Mass Depth mi (g/cm^2)","ln(Ci)","u(ln(Ci))"
16.5,5.00190153907686,0.0721822123642827,0.7,0.0724706193230163,4.30190153907686,0.102285201504734,,,1.16228495772007,0.0351942731416637,4.5676324342,1.45905714333975,0.0237767416514797
,,,,,,,3.87104585707338,0.0723265858713817,,,,,
17.5,4.1401901750699,0.0721823176637875,0.7,0.0724706193230163,3.4401901750699,0.102285275814154,,,0.933825487969333,0.0327954824330466,4.83844505435,1.23552675330779,0.029732448094116
,,,,,,,3.37694524103512,0.0723266196109627,,,,,
18.5,4.01370030700035,0.072182347592445,0.7,0.0724706193230163,3.31370030700035,0.102285296934692,,,0.901061093222948,0.0321731091913716,5.11012795555,1.19806548250725,0.0308673951952171
,,,,,,,3.29252659251407,0.0723266294773429,,,,,
19.5,3.97135287802779,0.072182357208197,0.7,0.0724706193230163,3.27135287802779,0.102285303720492,,,0.876584625557558,0.031546748826676,5.38006682725,1.18520362351644,0.031266973492067
,,,,,,,2.82013183660951,0.0723267361821703,,,,,
20.5,3.06891079519123,0.0721827752639522,0.7,0.0724706193230163,2.36891079519123,0.102285598741308,,,0.771175982818938,0.0351875273966119,5.6768159043,0.862430269419655,0.0431783243796863
,,,,,,,2.32470496277364,0.0723268587485102,,,,,
21.5,2.98049913035604,0.0721828484529288,0.7,0.0724706193230163,2.28049913035604,0.102285650390659,,,0.744396312680625,0.035085090844235,6.00279514145,0.824394335830383,0.044852308439464
,,,,,,,2.39573496912114,0.0723268376345102,,,,,
22.5,3.21097080788623,0.0721826906393329,0.7,0.0724706193230163,2.51097080788623,0.102285539021873,,,0.835868768205688,0.0360316528457443,6.3324475641,0.920669454415408,0.0407354552671915
,,,,,,,2.71209368462199,0.0723267578605936,,,,,
23.5,3.61321656135775,0.0721825287202038,0.7,0.0724706193230163,2.91321656135775,0.102285424755947,,,0.964487576762503,0.0363706871337777,6.66442745005,1.06925781828222,0.0351108208406847
,,,,,,,2.75987306764775,0.104412253279444,,,,,
24.5,3.30652957393774,0.173860846168301,0.7,0.0540164103925914,2.60652957393774,0.182058689498904,,,0.836546031159848,0.0591186592349622,6.99043522293333,0.958019671387531,0.06984716050003
,,,,,,,2.46620175568692,0.12757233141745,,,,,
25.5,3.0258739374361,0.170398532738328,0.7,0.0540164103925914,2.3258739374361,0.178755230835564,,,0.722909191905262,0.0561914654795834,7.30631238358333,0.844095855480766,0.0768550814205403
,,,,,,,2.19745703432135,0.102975522638644,,,,,
26.5,2.7690401312066,0.0721831686383316,0.7,0.0724706193230163,2.0690401312066,0.102285876345326,,,0.622121557019756,0.032395854536485,7.612058932,0.727084795001881,0.0494363907217576
,,,,,,,2.0217078691407,0.072327065416821,,,,,
27.5,2.6743756070748,0.0721832834002689,0.7,0.0724706193230163,1.9743756070748,0.102285957332886,,,0.615462573141308,0.0334952132020155,7.9182621385,0.680252200051114,0.0518067367558453
,,,,,,,1.62230390231265,0.0723277318817945,,,,,
28.5,1.97023219755049,0.072185839775488,0.7,0.0724706193230163,1.27023219755049,0.102287761384996,,,0.385571062398467,0.0317344981090502,8.22589660585,0.239199716475557,0.0805268214600824
,,,,,,,1.20022824661888,0.0723285552218087,,,,,
29.5,1.83022429568727,0.0721865832941371,0.7,0.0724706193230163,1.13022429568727,0.102288286097397,,,0.369507002785506,0.0339119749237458,8.54113471495,0.122416104786013,0.0905026431370396
,,,,,,,1.08379517748828,0.0723333757958313,,,,,
30.5,1.73736605928929,0.0722051582525746,0.7,0.0724706193230163,1.03736605928929,0.102301395607982,,,0.344069391262701,0.0343431283744176,8.87043892575,0.0366848653084589,0.0986164861399745
,,,,,,,0.84900629735808,0.0723357123295353,,,,,
31.5,1.36064653542687,0.0721959479782816,0.7,0.0724706193230163,0.66064653542687,0.102294895129446,,,0.199087761085348,0.031000946252618,9.18695336835,-0.414536324324158,0.154840583646365
,,,,,,,0.613413967201495,0.0723362555270634,,,,,
32.5,1.26618139897612,0.0722073349466701,0.7,0.0724706193230163,0.56618139897612,0.102302931948025,,,0.172338495795895,0.0312764497318698,9.4898235377,-0.568840759235159,0.180689319947686
,,,,,,,0.455907714355285,0.0723476233683348,,,,,
33.5,1.04563402973445,0.0722414969249807,0.7,0.0724706193230163,0.34563402973445,0.102327046976953,,,0.101249742752586,0.0300300007288937,9.78848682875,-1.06237478123285,0.296056054016355
,,,,,,,0.299627274219494,0.0723598202012037,,,,,
34.5,0.953620518704537,0.0722562046478848,0.7,0.0724706193230163,0.253620518704537,0.102337430958465,,,0.0769876709731338,0.0310935789234554,10.0867337012,-1.37191614997387,0.403506118042783
