"zi","mi","ln(Ci)","Time (yr)","Date (yr)","Time Uncertainty (yr)"
0.5,0.11305196145,2.44032696259363,0,2021.59428503632,0
1.5,0.3634480695,2.36908079667179,2.16016578677,2019.43411924955,0.0917646693859683
2.5,0.64298113365,2.47238813859783,4.32033157353999,2017.27395346278,0.183529338771937
3.5,0.9313472671,2.41761225959507,6.48049736030999,2015.11378767601,0.275294008157905
4.5,1.22533433955,2.39774484597575,8.64066314707998,2012.95362188924,0.367058677543873
5.5,1.52051821245,2.31305851245325,10.80082893385,2010.79345610247,0.458823346929842
6.5,1.81244428245,2.3001444551553,12.96099472062,2008.6332903157,0.55058801631581
7.5,2.098355199,2.17214988738752,15.12116050739,2006.47312452893,0.642352685701778
8.5,2.3814719589,1.85497339339242,17.28132629416,2004.31295874216,0.734117355087746
9.5,2.6552368568,1.86198213802974,19.44149208093,2002.15279295539,0.825882024473715
10.5,2.9218481233,1.7988961387654,21.6016578677,1999.99262716862,0.917646693859683
11.5,3.18303388175,1.56777617545817,23.76182365447,1997.83246138185,1.00941136324565
12.5,3.44427005225,1.55791175660696,25.92198944124,1995.67229559508,1.10117603263162
13.5,3.71374820555,1.69558783045595,28.0821552280099,1993.51212980831,1.19294070201759
14.5,3.985852661,1.73565107216882,30.2423210147799,1991.35196402154,1.28470537140356
15.5,4.2568403339,1.66633702846639,32.4024868015499,1989.19179823477,1.37647004078952
16.5,4.52563670155,1.52337930406675,34.5626525883199,1987.031632448,1.46823471017549
17.5,4.7964493217,1.31533283161668,36.7228183750899,1984.87146666123,1.55999937956146
18.5,5.0681322229,1.28079523541304,38.8829841618599,1982.71130087446,1.65176404894743
19.5,5.3380710946,1.26896067714275,41.0431499486299,1980.55113508769,1.7435287183334
20.5,5.63482017165,0.976335995907792,43.2033157353999,1978.39096930092,1.83529338771937
21.5,5.9607994088,0.942465118976397,45.3634815221699,1976.23080351415,1.92705805710533
22.5,6.29045183145,1.02846573025837,47.5236473089399,1974.07063772738,2.0188227264913
23.5,6.6224317174,1.16284366663025,49.6838130957099,1971.91047194061,2.11058739587727
24.5,6.93889099655,0.902814231918747,51.8439788824799,1969.75030615384,2.20235206526324
25.5,7.24648288455,0.885918361431836,54.0041446692499,1967.59014036707,2.29411673464921
26.5,7.55349265405,0.856473150922342,56.1643104560199,1965.4299745803,2.38588140403518
27.5,7.85969586055,0.815442836116137,62.4248999665546,1959.16938506977,3.84631962126482
28.5,8.1673303279,0.44213958809976,68.6854894770894,1952.90879555923,4.23206678766726
29.5,8.482568437,0.347853669615184,74.9460789876241,1946.6482060487,4.61781395406971
30.5,8.8118726478,0.280027947250001,81.2066684981589,1940.38761653816,5.00356112047215
31.5,9.1283870904,-0.0550400237449663,87.4672580086936,1934.12702702763,5.3893082868746
32.5,9.43125725975,-0.160189726104422,93.7278475192284,1927.86643751709,5.77505545327704
33.5,9.7299205508,-0.459760650304985,99.9884370297631,1921.60584800656,6.16080261967949
34.5,10.02816742325,-0.617258473225561,106.249026540298,1915.34525849603,6.54654978608193
