"Mid Depth zi (cm)","Total Pb-210 dmp/g","Total Pb-210 Uncertainty u(Pb-210) dmp/g","Supported Pb-210 dmp/g","Supported Pb-210 Uncertainty u(sPb-210) dmp/g","Excess Pb-210 Ci dmp/g","Excess Pb-210 Uncertainty u(Ci) dmp/g","Excess Pb-210 C(i) dmp/g","Excess Pb-210 Uncertainty u(C(i)) dmp/g","Inventory delta Ai dpm/cm^2","Inventory Uncertainty u(delta Ai) dpm/cm^2","Mass Depth mi (g/cm^2)","ln(Ci)","u(ln(Ci))"
,,,,,,,12.8407323899689,0.994070256235134,,,,,
0.5,11.8909918798753,0.072182090464957,0.7,0.0724706193230163,11.1909918798753,0.102285115480957,,,2.53032716518185,0.0589565290518197,0.11305196145,2.41510915824143,0.00913995082642282
,,,,,,,10.796377435953,0.0723264989498268,,,,,
1.5,11.1017629920307,0.0721820911815587,0.7,0.0724706193230163,10.4017629920307,0.10228511598666,,,2.85724252255184,0.0530019150014193,0.3634480695,2.34197531024519,0.00983344035669964
,,,,,,,10.9833382468488,0.0723264984970723,,,,,
2.5,12.2649135016668,0.0721820886503158,0.7,0.0724706193230163,11.5649135016668,0.102285114200374,,,3.28880506472276,0.0609801180187718,0.64298113365,2.44797581633566,0.00884443400165788
,,,,,,,11.2490759625012,0.0723264981310195,,,,,
3.5,11.6332384233355,0.0721820897144183,0.7,0.0724706193230163,10.9332384233355,0.102285114951306,,,3.19638070698818,0.0591791213974,0.9313472671,2.39180754589183,0.00935542709221381
,,,,,,,10.8228915606656,0.0723264986432847,,,,,
4.5,11.4125446979957,0.0721820907034762,0.7,0.0724706193230163,10.7125446979957,0.102285115649279,,,3.16683939019242,0.0581771746404393,1.22533433955,2.37141545642354,0.00954816232117253
,,,,,,,10.2660142717713,0.0723264999663818,,,,,
5.5,10.5194838455469,0.0721820950173946,0.7,0.0724706193230163,9.8194838455469,0.10228511869359,,,2.89427354560438,0.055647089504974,1.52051821245,2.2843685594317,0.0104165473768741
,,,,,,,9.75465324755235,0.0723265015203057,,,,,
6.5,10.3898226495578,0.0721820969316068,0.7,0.0724706193230163,9.6898226495578,0.10228512004444,,,2.80136752699573,0.0555705343253099,1.81244428245,2.27107612331597,0.0105559331417802
,,,,,,,9.09057776913293,0.0723265043205591,,,,,
7.5,9.19133288870805,0.0721821062408162,0.7,0.0724706193230163,8.49133288870805,0.102285126613902,,,2.40065032330628,0.0505320521799421,2.098355199,2.13904598313721,0.0120458269572641
,,,,,,,7.29853017438984,0.0723265100174233,,,,,
8.5,6.80572746007163,0.0721821197646495,0.7,0.0724706193230163,6.10572746007163,0.102285136157605,,,1.73107016878981,0.0416263804217817,2.3814719589,1.8092272585428,0.0167523258819687
,,,,,,,6.12820443020134,0.0723265139664612,,,,,
9.5,6.85068140033106,0.0721821220685674,0.7,0.0724706193230163,6.15068140033106,0.102285137783468,,,1.62386601029823,0.0403261742362024,2.6552368568,1.81656287248271,0.0166298871825751
,,,,,,,5.95392692322078,0.0723265172923521,,,,,
10.5,6.45717244611051,0.0721821330948247,0.7,0.0724706193230163,5.75717244611051,0.102285145564645,,,1.54987993808252,0.0393479867385346,2.9218481233,1.75044645940703,0.0177665592827165
,,,,,,,5.13367132142344,0.0723265326578889,,,,,
