"zi","mi","ln(Ci)","Time (yr)","Date (yr)","Time Uncertainty (yr)"
0.5,0.11305196145,2.44032696259363,0,2021.59428503632,0
1.5,0.3634480695,2.36908079667179,2.09075043125488,2019.50353460507,0.0951251555792639
2.5,0.64255289735,2.39335725915434,4.18150086250976,2017.41278417381,0.190250311158528
3.5,0.9304907945,2.41761225959507,6.27225129376465,2015.32203374256,0.285375466737792
4.5,1.22447786695,2.39774484597575,8.36300172501953,2013.2312833113,0.380500622317056
5.5,1.51966173985,2.31305851245325,10.4537521562744,2011.14053288005,0.47562577789632
6.5,1.81158780985,2.3001444551553,12.5445025875293,2009.04978244879,0.570750933475583
7.5,2.0974987264,2.17214988738752,14.6352530187842,2006.95903201754,0.665876089054847
8.5,2.3806154863,1.85497339339242,16.7260034500391,2004.86828158628,0.761001244634111
9.5,2.6623554754625,1.78127211158347,18.8167538812939,2002.77753115503,0.856126400213375
10.5,2.94054385495,1.70721473400291,20.9075043125488,2000.68678072377,0.951251555792639
11.5,3.2151806247625,1.63277196019881,22.9982547438037,1998.59603029252,1.0463767113719
12.5,3.4862657849,1.55791175660696,25.0890051750586,1996.50527986126,1.14150186695117
13.5,3.7557439382,1.69558783045595,27.1797556063135,1994.41452943001,1.23662702253043
14.5,4.02784839365,1.73565107216882,29.2705060375684,1992.32377899875,1.33175217810969
15.5,4.29883606655,1.66633702846639,31.3612564688232,1990.2330285675,1.42687733368896
16.5,4.5676324342,1.52337930406675,33.4520069000781,1988.14227813624,1.52200248926822
17.5,4.83844505435,1.31533283161668,35.542757331333,1986.05152770499,1.61712764484749
18.5,5.11012795555,1.28079523541304,37.6335077625879,1983.96077727374,1.71225280042675
19.5,5.38006682725,1.26896067714275,39.7242581938428,1981.87002684248,1.80737795600601
20.5,5.6768159043,0.976335995907792,41.8150086250976,1979.77927641123,1.90250311158528
21.5,6.00279514145,0.942465118976397,43.9057590563525,1977.68852597997,1.99762826716454
22.5,6.3324475641,1.02846573025837,45.9965094876074,1975.59777554872,2.09275342274381
23.5,6.66442745005,1.16284366663025,48.0872599188623,1973.50702511746,2.18787857832307
24.5,6.99043522293333,1.06206251124017,50.1780103501172,1971.41627468621,2.28300373390233
25.5,7.30631238358333,0.959991651145628,52.2687607813721,1969.32552425495,2.3781288894816
26.5,7.612058932,0.856473150922342,54.3595112126269,1967.2347738237,2.47325404506086
27.5,7.9182621385,0.815442836116137,60.6201007231617,1960.97418431316,3.73511664383073
28.5,8.22589660585,0.44213958809976,66.8806902336964,1954.71359480263,4.12086381023317
29.5,8.54113471495,0.347853669615184,73.1412797442312,1948.45300529209,4.50661097663562
30.5,8.87043892575,0.280027947250001,79.4018692547659,1942.19241578156,4.89235814303806
31.5,9.18695336835,-0.0550400237449663,85.6624587653007,1935.93182627102,5.27810530944051
32.5,9.4898235377,-0.160189726104422,91.9230482758354,1929.67123676049,5.66385247584295
33.5,9.78848682875,-0.459760650304985,98.1836377863702,1923.41064724995,6.04959964224539
34.5,10.0867337012,-0.617258473225561,104.444227296905,1917.15005773942,6.43534680864784
