"Top of Interval z(i) (cm)","Mid Depth zi (cm)","Inventory delta Ai dpm/cm^2","Inventory Uncertainty u(delta Ai) dpm/cm^2","Inventory Below A(i) dpm/cm^2","Inventory Below Uncertainty u(A(i)) dpm/cm^2","Age t(i) yr","Age Uncertainty u(t(i)) yr","Year CE","Mass Accumulation Rate r(i) g/(cm^2 yr)","Mass Accumulation Rate Uncertainty u(r(i)) g/(cm^2 yr)","Dry Bulk Density Section ri g/cm^3","Dry Bulk Density Section Uncertainty u(ri) g/cm^3","Dry Bulk Density Layer r(i) g/cm^3","Dry Bulk Density Layer Uncertainty u(r(i)) g/cm^3","Sediment Accumulation Rate s(i) cm/yr","Sediment Accumulation Rate Uncertainty U(s(i)) cm/yr"
,15.5,1.41535088197549,0.0510635803947062,,,,,,,,0.2674133862,0.00476096618222665,,,,
16,,,,14.1563455095874,0.361184848981225,40.3298052872734,0.659474351812076,1981.26447974905,0.0893491735652658,0.00315291454812117,,,0.26879636765,0.00347597348868999,0.33240469112889,0.0124925756657481
,16.5,1.23950241330325,0.0505337662994537,,,,,,,,0.2701793491,0.00506584324550184,,,,
17,,,,12.9168430962841,0.357632260285873,43.2685082139152,0.729806442733079,1978.32577682241,0.0968898727763952,0.00386819860088925,,,0.27081262015,0.0035848523572581,0.357774584961103,0.0150483552268259
,17.5,1.01140492221104,0.0488859422345736,,,,,,,,0.2714458912,0.00507364739663284,,,,
18,,,,11.9054381740731,0.354275314196488,45.883485271202,0.797032837813617,1975.71079976512,0.1013501936674,0.0044671059349689,,,0.2716829012,0.00351989777219553,0.373045904691626,0.0171379770090529
,18.5,0.978776002727359,0.0484576706160339,,,,,,,,0.2719199112,0.00488024829301431,,,,
19,,,,10.9266621713457,0.350945654492955,48.6348470024593,0.873468974457646,1972.95943803386,0.0952123861918786,0.00440232189465266,,,0.2699388717,0.00341379448351941,0.352718323197609,0.0169076199871042
,19.5,0.953167169985886,0.0476345238835657,,,,,,,,0.2679578322,0.00477484530653728,,,,
20,,,,9.97349500135982,0.347697863873039,51.5621311875808,0.961986835322048,1970.03215384874,0.100124728172502,0.00517771912423304,,,0.29674907705,0.00338592187420881,0.337405356632773,0.0178678091865571
,20.5,0.864215644919619,0.0555495951560428,,,,,,,,0.3255403219,0.00480194960944216,,,,
21,,,,9.1092793564402,0.3432317686635,54.468975554605,1.05407567071205,1967.12530948172,0.108804128423388,0.0064118033647236,,,0.32597923715,0.00336913615745689,0.333776253281191,0.0199695856339041
,21.5,0.837686859380256,0.0555536205380708,,,,,,,,0.3264181524,0.00472711262170807,,,,
22,,,,8.27159249705994,0.338706129653696,57.562764959267,1.16052846882443,1964.03152007706,0.0961814999587338,0.00579004283304071,,,0.32965242265,0.00333082973592347,0.29176639803085,0.0178097700185254
,22.5,0.931008028511339,0.0568243664539992,,,,,,,,0.3328866929,0.00469383778805108,,,,
