"Mid Depth zi cm","ln(Ci)","Age ti yr","Age Uncertainty u(ti) yr","CIC Age (CE)","ur(l)","ur(C0)","ur(Ci)","t(i) yr","u(t(i)) yr","delta t yr","Uncertainty delta t yr"," Sediment Accumulation Rate s cm/yr","Sediment Accumulation Rate Uncertainty u(s) cm/yr","Mass Accumualtion Rate r g/(cm^2 yr)","Mass Accumualtion Rate Uncertainty u(r) g/(cm^2 yr)","Mass Depth Section mi gcm^-2"
11.5,1.57531040792092,31.1309034668744,3.48957349490398,1990.46338156945,0.00523985786343552,0.0835383873351209,0.0695192591940447,,,2.53594464546904,3.27809096943887,0.394330373806343,0.509731487893318,0.107597366315751,0.139085825664713,3.2151806247625
,,,,,,,,32.4052220495266,2.2320593713009,,,,,,,
12.5,1.49584209188849,33.6795406321788,2.78410362086478,1987.91474440414,0.00566883662744327,0.0835383873351209,0.0229180071839583,,,-1.06492663332175,2.97008293090441,-0.939031825019501,2.61896200902299,-0.252890055402184,0.705310970205175,3.4862657849
,,,,,,,,31.3402954162048,1.95941409085408,,,,,,,
13.5,1.64172074470816,29.0010502002309,2.75789436817978,1992.59323483609,0.00488136751640589,0.0835383873351209,0.0198071718459321,,,-3.01649611910747,2.76289050184954,-0.331510454684716,0.303639404907715,-0.0893907834298105,0.0818754398279115,3.7557439382
,,,,,,,,28.3237992970974,1.94788612238315,,,,,,,
14.5,1.6839550725569,27.6465483939638,2.75155593020634,1993.94773664236,0.00465338194097413,0.0835383873351209,0.0189880505785201,,,0.495417324979307,2.75597108718394,2.01850026145486,11.2287723492011,0.55420338723816,3.08299374009895,4.02784839365
,,,,,,,,28.8192166220767,1.94964516967088,,,,,,,
15.5,1.61082581695198,29.9918848501895,2.76286176154911,1991.60240018613,0.00504814175530565,0.0835383873351209,0.0204286676615973,,,3.60636319869214,2.76734090955783,0.277287656540709,0.212776537853648,0.0741504311870137,0.0568992944913567,4.29883606655
,,,,,,,,32.4255798207688,1.96393977048466,,,,,,,
16.5,1.45905714333975,34.8592747913481,2.7919227379953,1986.73501024498,0.00586740585037844,0.0835383873351209,0.0237767416514797,,,6.01812891893382,2.80007811957539,0.166164602565071,0.0773120473419214,0.0448942441644912,0.0208881186284287,4.5676324342
,,,,,,,,38.4437087397026,1.99584018739816,,,,,,,
17.5,1.23552675330779,42.0281426880571,2.85283712111276,1979.56614234827,0.0070740476319275,0.0835383873351209,0.029732448094116,,,4.18514623086215,2.84097685328086,0.238940277074619,0.162198346017092,0.0648593564540949,0.0440280745857756,4.83844505435
,,,,,,,,42.6288549705648,2.02182378738705,,,,,,,
18.5,1.19806548250725,43.2295672530724,2.86572958762294,1978.36471778325,0.00727626771722052,0.0835383873351209,0.0308673951952171,,,0.80695933463798,2.86367240450639,1.23921981824353,4.39764365352247,0.336968542934062,1.19580687175508,5.11012795555
,,,,,,,,43.4358143052028,2.02801583156723,,,,,,,
19.5,1.18520362351644,43.6420613573331,2.87036352801727,1977.95222367899,0.00734569745536258,0.0835383873351209,0.031266973492067,,,5.38209704677004,2.9099348692502,0.185801183313878,0.100457003538699,0.0497868823009815,0.0269182408975376,5.38006682725
,,,,,,,,48.8179113519728,2.08683318216643,,,,,,,
20.5,0.862430269419655,53.9937613466125,3.02993467549908,1967.60052368971,0.00908806373928583,0.0835383873351209,0.0431783243796863,,,5.78577731412074,2.9973301058273,0.172837623314573,0.0895387747668846,0.056265615530257,0.0291484815601432,5.6768159043
,,,,,,,,54.6036886660935,2.151537829811,,,,,,,
21.5,0.824394335830383,55.2136159855746,3.05547966686733,1966.38066905075,0.00929338591790538,0.0835383873351209,0.044852308439464,,,-0.933897676255228,3.03382186323768,-1.07078112027201,3.47849583098819,-0.349522394903991,1.13544418228227,6.00279514145
,,,,,,,,53.6697909898383,2.1389156282451,,,,,,,
22.5,0.920669454415408,52.125965994102,2.99397465994034,1969.46831904222,0.00877368217385666,0.0835383873351209,0.0407354552671915,,,-3.92652193326892,2.9906104760459,-0.254678317603966,0.193974122032747,-0.0847790229005199,0.0645714039916623,6.3324475641
,,,,,,,,49.7432690565694,2.09016529362736,,,,,,,
23.5,1.06925781828222,47.3605721190367,2.91740973371459,1974.23371291729,0.00797158574272679,0.0835383873351209,0.0351108208406847,,,-0.598931472692094,3.09264887888812,-1.66964009339027,8.62137122258834,-0.552772886540565,2.85430391586432,6.66442745005
,,,,,,,,49.1443375838773,2.27940477612107,,,,,,,
24.5,0.958019671387531,50.9281030487179,3.50306508350067,1970.66618198761,0.00857206156941875,0.0835383873351209,0.06984716050003,,,3.61059712385528,3.40566966184453,0.276962498361554,0.261242876394763,0.0888890274260161,0.0838439331753546,6.99043522293333
,,,,,,,,52.7549347077326,2.53039516917905,,,,,,,
25.5,0.844095855480766,54.5817663667473,3.65241479976976,1967.01251866958,0.00918703493463746,0.0835383873351209,0.0768550814205403,,,3.70316899933565,3.49079448777355,0.270038985576786,0.254552412407999,0.0839313179034208,0.079117907376464,7.30631238358333
,,,,,,,,56.4581037070682,2.40473417318121,,,,,,,
26.5,0.727084795001881,58.3344410473892,3.12903370149395,1963.25984398893,0.00981867358769486,0.0835383873351209,0.0494363907217576,,,2.62732401021876,3.27737302354765,0.380615407962849,0.474786766136302,0.114443913704791,0.142759474669463,7.612058932
,,,,,,,,59.085427717287,2.22675267863594,,,,,,,
27.5,0.680252200051114,59.8364143871848,3.16904686966986,1961.75787064914,0.0100714811177935,0.0835383873351209,0.0518067367558453,,,7.82350819553122,3.31224039102849,0.127819895500487,0.0541151373619806,0.0398446787437454,0.0168690504316174,7.9182621385
,,,,,,,,66.9089359128182,2.45204178515544,,,,,,,
28.5,0.239199716475557,73.9814574384516,3.74261641133964,1947.61282759787,0.0124523312315617,0.0835383873351209,0.0805268214600824,,,8.94521159829686,3.66864514907232,0.111791654005188,0.0458484301535127,0.0339336594405206,0.0139170050622884,8.22589660585
,,,,,,,,75.8541475111151,2.72881811663284,,,,,,,
29.5,0.122416104786013,77.7268375837785,3.97223056383005,1943.86744745254,0.0130827420908844,0.0835383873351209,0.0905026431370396,,,3.24743811105732,3.96654766496426,0.307935044734206,0.376123883159529,0.10067395990914,0.122967104204579,8.54113471495
,,,,,,,,79.1015856221724,2.878724034146,,,,,,,
30.5,0.0366848653084589,80.4763336605662,4.16768432188111,1941.11795137576,0.013545528808712,0.0835383873351209,0.0986164861399745,,,8.6103304131429,4.54474141839379,0.116139561668108,0.0613012800788081,0.0385207014696819,0.0203321613729971,8.87043892575
,,,,,,,,87.7119160353153,3.51676307067938,,,,,,,
31.5,-0.414536324324158,94.9474984100643,5.66576538292254,1926.64678662626,0.0159812707230581,0.0835383873351209,0.154840583646365,,,9.7099396860639,5.53672001321979,0.102987251448661,0.0587245229772841,0.0310355087202563,0.0176968063456177,9.18695336835
,,,,,,,,97.4218557213792,4.27640573490102,,,,,,,
32.5,-0.568840759235159,99.896213032694,6.40700293925748,1921.69807200363,0.0168142231382322,0.0835383873351209,0.180689319947686,,,10.3884494527167,7.2787459096237,0.0962607561938403,0.0674458290038622,0.0293005633117267,0.020529661940948,9.4898235377
,,,,,,,,107.810305174096,5.89003361682847,,,,,,,
33.5,-1.06237478123285,115.724397315498,9.8853577257388,1905.86988772083,0.0194783744040767,0.0835383873351209,0.296056054016355,,,12.8777599020889,10.1439010274394,0.07765325705737,0.0611680105885882,0.0227476799868339,0.0179185057140937,9.78848682875
,,,,,,,,120.688065076185,8.258706439093,,,,,,,
34.5,-1.37191614997387,125.651732836872,13.2327106377583,1895.94255219945,0.0211493129667813,0.0835383873351209,0.403506118042783,,,9.92733552137398,11.6795746538233,0.100731963561316,0.11851180872325,0.0305776492641389,0.0359748027605203,10.0867337012
,,,,,,,,130.615400597559,8.258706439093,,,,,,,
