"Top of Interval z(i) (cm)","Mid Depth zi (cm)","Inventory delta Ai dpm/cm^2","Inventory Uncertainty u(delta Ai) dpm/cm^2","Inventory Below A(i) dpm/cm^2","Inventory Below Uncertainty u(A(i)) dpm/cm^2","Age t(i) yr","Age Uncertainty u(t(i)) yr","Year CE","Mass Accumulation Rate r(i) g/(cm^2 yr)","Mass Accumulation Rate Uncertainty u(r(i)) g/(cm^2 yr)","Dry Bulk Density Section ri g/cm^3","Dry Bulk Density Section Uncertainty u(ri) g/cm^3","Dry Bulk Density Layer r(i) g/cm^3","Dry Bulk Density Layer Uncertainty u(r(i)) g/cm^3","Sediment Accumulation Rate s(i) cm/yr","Sediment Accumulation Rate Uncertainty U(s(i)) cm/yr"
19,,,,8.92252300862736,0.188887920417537,52.7929723995998,0.650861888647608,1968.80131263672,0.0844976019124936,0.0026178505034371,,,0.2699388717,0.00341379448351941,0.313024950353949,0.0104747882793437
,19.5,0.876584625557558,0.031546748826676,,,,,,,,0.2679578322,0.00477484530653728,,,,
20,,,,8.0459383830698,0.18623492990878,56.1094889282955,0.714408149265509,1965.48479610803,0.0889596958382798,0.00311059494589798,,,0.29674907705,0.00338592187420881,0.299780867804656,0.0110262083058242
,20.5,0.771175982818938,0.0351875273966119,,,,,,,,0.3255403219,0.00480194960944216,,,,
21,,,,7.27476240025086,0.182880526666567,59.3408541874376,0.779399654485687,1962.25343084889,0.0975746425704737,0.0039382997381795,,,0.32597923715,0.00336913615745689,0.299327783645234,0.0124712527352605
,21.5,0.744396312680625,0.035085090844235,,,,,,,,0.3264181524,0.00472711262170807,,,,
22,,,,6.53036608757024,0.179483490701214,62.8028712184694,0.855463749866704,1958.79141381785,0.0849933122778315,0.00350019789824013,,,0.32965242265,0.00333082973592347,0.257827051882676,0.0109327562151955
,22.5,0.835868768205688,0.0360316528457443,,,,,,,,0.3328866929,0.00469383778805108,,,,
23,,,,5.69449731936455,0.175829586325784,67.1954164389713,0.964396653741672,1954.39886859735,0.0654691502051602,0.00269437970133621,,,0.33197988595,0.00327021270010033,0.197208183314518,0.00834534387008565
,23.5,0.964487576762503,0.0363706871337777,,,,,,,,0.331073079,0.00455467355965867,,,,
24,,,,4.73000974260204,0.172026790195345,73.1469507201387,1.13907632976243,1948.44733431618,0.0534390741469619,0.00281920393940489,,,0.326007772883333,0.00285717730624518,0.163919631959468,0.00876617710897308
,24.5,0.836546031159848,0.0591186592349622,,,,,,,,0.320942466766667,0.00345091254630367,,,,
25,,,,3.8934637114422,0.161549375347519,79.3888896406634,1.30984069410515,1942.20539539566,0.0492258843471153,0.00327512231554274,,,0.31587716065,0.00249844459711558,0.155838694528658,0.0104413525659044
,25.5,0.722909191905262,0.0561914654795834,,,,,,,,0.310811854533333,0.00361387661897692,,,,
26,,,,3.17055451953693,0.151461942026473,85.9760608956238,1.51665657919133,1935.6182241407,0.0449884293881547,0.00302033694645775,,,0.305746548416667,0.00305201064452181,0.147142885573463,0.00998716263011896
,26.5,0.622121557019756,0.032395854536485,,,,,,,,0.3006812423,0.00491924503149718,,,,
27,,,,2.54843296251718,0.147956846719851,92.9812847979556,1.84289834549642,1928.61300023837,0.0393043673903021,0.0026887562180086,,,0.3062032065,0.00357784252251595,0.128360404319614,0.00890812245122567
,27.5,0.615462573141308,0.0334952132020155,,,,,,,,0.3117251707,0.00519661974592942,,,,
28,,,,1.93297038937587,0.144115575784968,101.846405740831,2.36669745340412,1919.74787929549,0.0371517252874389,0.00323358575736746,,,0.30763446735,0.00366353408777283,0.120765808875281,0.0106090607094311
,28.5,0.385571062398467,0.0317344981090502,,,,,,,,0.303543764,0.00516537232591326,,,,
29,,,,1.5473993269774,0.140578166205139,108.981657449716,2.88559366019088,1912.61262758661,0.0401998616628685,0.00438787545793113,,,0.3152381091,0.00358800007085105,0.127522214168961,0.0139947123744122
,29.5,0.369507002785506,0.0339119749237458,,,,,,,,0.3269324542,0.00498135591665543,,,,
30,,,,1.1778923241919,0.136426532501456,117.73222771678,3.68221093105416,1903.86205731954,0.0338878780691608,0.00453367976003177,,,0.3293042108,0.00356954033792817,0.102907515172171,0.0138125674294846
,30.5,0.344069391262701,0.0343431283744176,,,,,,,,0.3316759674,0.0051139579708859,,,,
31,,,,0.833822932929197,0.132033133356098,128.811542030297,5.04014592705562,1892.78274300603,0.0306230837640922,0.00550891670194563,,,0.3165144426,0.00356415498654332,0.0967509839757696,0.0174390108283135
,31.5,0.199087761085348,0.031000946252618,,,,,,,,0.3013529178,0.00496590746434315,,,,
32,,,,0.634735171843849,0.128342080531957,137.560964688467,6.44271400375474,1884.03332034786,0.0322644972238219,0.00755424722090372,,,0.30287016935,0.00358056038165424,0.106529135216802,0.0249739712395552
,32.5,0.172338495795895,0.0312764497318698,,,,,,,,0.3043874209,0.00515959432923451,,,,
33,,,,0.462396676047954,0.124472781472261,147.720602877763,8.58711113987833,1873.87368215856,0.0316245067803015,0.00988360247437658,,,0.29866329105,0.00367243007797233,0.105886822143828,0.0331183963158524
,33.5,0.101249742752586,0.0300300007288937,,,,,,,,0.2929391612,0.00522738529937429,,,,
34,,,,0.361146933295368,0.120795994899102,155.646600613839,10.6789518287597,1865.94768442248,0.0375827527026405,0.0155061169312016,,,0.29824687245,0.00370628803136665,0.126012227366914,0.0520144559969666
,34.5,0.0769876709731338,0.0310935789234554,,,,,,,,0.3035545837,0.00525554248557579,,,,
35,,,,0.284159262322234,0.116725583028721,,,,,,,,,,,
