"Mid Depth zi cm","ln(Ci)","Age ti yr","Age Uncertainty u(ti) yr","CIC Age (CE)","ur(l)","ur(C0)","ur(Ci)","t(i) yr","u(t(i)) yr","delta t yr","Uncertainty delta t yr"," Sediment Accumulation Rate s cm/yr","Sediment Accumulation Rate Uncertainty u(s) cm/yr","Mass Accumualtion Rate r g/(cm^2 yr)","Mass Accumualtion Rate Uncertainty u(r) g/(cm^2 yr)","Mass Depth Section mi gcm^-2"
,,,,,,,,0,0,,,,,,,
0.5,2.44032696259363,4.25477775293269,2.43733015268696,2017.33950728339,0.000716151096918785,0.0746037343624352,0.0144712810625706,,,5.39724959214803,1.7258955831212,0.18527955450769,0.059247429511634,0.0418924341073532,0.0133960762343217,0.11305196145
,,,,,,,,5.39724959214803,1.7258955831212,,,,,,,
1.5,2.36908079667179,6.53972143136336,2.44423484594913,2015.05456360496,0.00110074578475597,0.0746037343624352,0.0155399206202557,,,-0.514118763346613,2.44008821680348,-1.94507586824994,9.23163487753445,-0.534289570394084,2.53582202795553,0.3634480695
,,,,,,,,4.88313082880141,1.724910125759,,,,,,,
2.5,2.47238813859783,3.22654022623947,2.43453810519198,2018.36774481008,0.000543081320917712,0.0746037343624352,0.0140146735057129,,,-0.778228961353419,2.43818687839103,-1.28496888404268,4.02580015367848,-0.365416669414922,1.14484833224833,0.64298113365
,,,,,,,,4.10490186744799,1.72320640435563,,,,,,,
3.5,2.41761225959507,4.98326350865652,2.43942318231529,2016.61102152767,0.000838767577342876,0.0746037343624352,0.0148037535975887,,,1.19694665254809,2.43868130212917,0.835459122485678,1.70217990614849,0.244250177046427,0.49763983928342,0.9313472671
,,,,,,,,5.30184851999609,1.72560893059296,,,,,,,
4.5,2.39774484597575,5.62043353133566,2.44133554902874,2015.97385150499,0.00094601407461313,0.0746037343624352,0.0151008070026934,,,1.67657740242492,2.4431299613199,0.596453225812092,0.869159243348853,0.17632333149214,0.256940606157001,1.22533433955
,,,,,,,,6.97842592242101,1.7294964083677,,,,,,,
