"Mid Depth zi cm","ln(Ci)","Age ti yr","Age Uncertainty u(ti) yr","CIC Age (CE)","ur(l)","ur(C0)","ur(Ci)","t(i) yr","u(t(i)) yr","delta t yr","Uncertainty delta t yr"," Sediment Accumulation Rate s cm/yr","Sediment Accumulation Rate Uncertainty u(s) cm/yr","Mass Accumualtion Rate r g/(cm^2 yr)","Mass Accumualtion Rate Uncertainty u(r) g/(cm^2 yr)","Mass Depth Section mi gcm^-2"
,,,,,,,,0,0,,,,,,,
0.5,2.41510915824143,4.4102003660112,2.50015480528876,2017.18408467031,0.000742311352825322,0.077415386135739,0.00913995082642282,,,5.58294223566944,1.76888699716797,0.179117024283539,0.0567510394792006,0.0404990618486828,0.0128316326549,0.11305196145
,,,,,,,,5.58294223566944,1.76888699716797,,,,,,,
1.5,2.34197531024519,6.75568410532768,2.50301234207729,2014.838600931,0.00113709595739342,0.077415386135739,0.00983344035669964,,,-0.527035116008502,2.50129889609485,-1.89740677542228,9.00505740253196,-0.521195428646862,2.47358384806953,0.3634480695
,,,,,,,,5.05590711966094,1.76848380225983,,,,,,,
2.5,2.44797581633566,3.3561301339942,2.49901361557522,2018.23815490233,0.000564893495366585,0.077415386135739,0.00884443400165788,,,-0.799087574395023,2.50051446736001,-1.25142729288099,3.91598136545568,-0.355878184334549,1.11361830300023,0.64298113365
,,,,,,,,4.25681954526592,1.76777759987543,,,,,,,
3.5,2.39180754589183,5.15750895653764,2.50101609744019,2016.43677607979,0.000868096034874449,0.077415386135739,0.00935542709221381,,,1.22768789124369,2.50071340207871,0.814539271041412,1.65915888406231,0.238134165764098,0.485062452815959,0.9313472671
,,,,,,,,5.4845074365096,1.76876507109191,,,,,,,
4.5,2.37141545642354,5.81150591648157,2.50180694443117,2015.78277911984,0.000978174790438724,0.077415386135739,0.00954816232117253,,,1.72284381729665,2.50255870232151,0.580435666866844,0.843125949475021,0.171588225312183,0.249244651290971,1.22533433955
,,,,,,,,7.20735125380625,1.77038701470903,,,,,,,
5.5,2.2843685594317,8.60319659113094,2.50560227095152,2012.99108844519,0.00144806357312075,0.077415386135739,0.0104165473768741,,,1.6089969327867,2.50481496267366,0.621505224542628,0.967531729919464,0.183187442246712,0.28517807396859,1.52051821245
,,,,,,,,8.81634818659296,1.77195592930058,,,,,,,
6.5,2.27107612331597,9.02949978205497,2.50624590200894,2012.56478525427,0.0015198176142313,0.077415386135739,0.0105559331417802,,,2.33032822005909,2.50794910487721,0.429124099941013,0.461832540611388,0.124061539834363,0.133517684375546,1.81244428245
,,,,,,,,11.146676406652,1.77481855333747,,,,,,,
7.5,2.13904598313721,13.2638530312491,2.51369351110015,2008.33043200507,0.00223253092153903,0.077415386135739,0.0120458269572641,,,7.4060030480205,2.51932925536068,0.13502559930316,0.0459321904597357,0.0381741303597715,0.0129858444277889,2.098355199
,,,,,,,,18.5526794546725,1.78802656569899,,,,,,,
8.5,1.8092272585428,23.841505878096,2.54352136433612,1997.75277915823,0.00401292889505813,0.077415386135739,0.0167523258819687,,,5.17119577984746,2.53587404036822,0.193378870685399,0.0948299927142366,0.0548259640651941,0.026885800679391,2.3814719589
,,,,,,,,23.72387523452,1.79822638979861,,,,,,,
9.5,1.81656287248271,23.606244590944,2.54263085504724,1997.98804044538,0.00397333043924213,0.077415386135739,0.0166298871825751,,,0.942582759791698,2.54497927700835,1.06091479990679,2.8644765166625,0.280096361892238,0.75626190822619,2.6552368568
,,,,,,,,24.6664579943117,1.80091681413491,,,,,,,
10.5,1.75044645940703,25.7266713976794,2.55112403083367,1995.86761363864,0.00433023415355079,0.077415386135739,0.0177665592827165,,,4.97467798634102,2.55966537912726,0.201018036292138,0.103431600897566,0.0541157702949148,0.0278446693572984,2.9218481233
,,,,,,,,29.6411359806527,1.81895175352973,,,,,,,
11.5,1.5063348904381,33.5556005636261,2.59347413828989,1988.0386844727,0.005647975416541,0.077415386135739,0.022678785230274,,,4.08272243520133,2.58352659960961,0.244934603287741,0.154993407659246,0.0620083754695696,0.0392385938468318,3.18303388175
,,,,,,,,33.7238584158541,1.83467277987698,,,,,,,
12.5,1.49584209188849,33.892116268082,2.5957636122936,1987.70216876824,0.00570461670425818,0.077415386135739,0.0229180071839583,,,-2.17098736374599,2.58818298775593,-0.460619908111544,0.549136595589825,-0.124049250491865,0.147887622529933,3.44427005225
,,,,,,,,31.5528710521081,1.82555935781001,,,,,,,
13.5,1.64172074470816,29.2136258361341,2.56762130086259,1992.38065920019,0.0049171475932208,0.077415386135739,0.0198071718459321,,,-3.01649611910748,2.57298892706936,-0.331510454684715,0.282769377261416,-0.0893907834298103,0.0762479004995404,3.71374820555
,,,,,,,,28.5363749330006,1.81317540517563,,,,,,,
14.5,1.6839550725569,27.8591240298671,2.56080867209793,1993.73516100646,0.00468916201778904,0.077415386135739,0.0189880505785201,,,0.495417324979307,2.56555434760469,2.01850026145486,10.4529491810425,0.55420338723816,2.86998221074625,3.985852661
,,,,,,,,29.0317922579799,1.8150658557142,,,,,,,
15.5,1.61082581695198,30.2044604860927,2.57295845034974,1991.38982455023,0.00508392183212056,0.077415386135739,0.0204286676615973,,,3.60636319869214,2.57776911199836,0.277287656540709,0.19820065722395,0.0741504311870137,0.0530015088953222,4.2568403339
,,,,,,,,32.638155456672,1.83041785781097,,,,,,,
16.5,1.45905714333975,35.0718504272514,2.60415109959985,1986.52243460907,0.00590318592719335,0.077415386135739,0.0237767416514797,,,6.01812891893383,2.6128939853041,0.166164602565071,0.0721437670181447,0.0448942441644911,0.0194917560145844,4.52563670155
,,,,,,,,38.6562843756059,1.86461402017818,,,,,,,
17.5,1.23552675330779,42.2407183239604,2.6693704927254,1979.35356671236,0.00710982770874241,0.077415386135739,0.029732448094116,,,4.18514623086214,2.65668782254137,0.238940277074619,0.15167683263675,0.064859356454095,0.0411720530094758,4.7964493217
,,,,,,,,42.841430606468,1.89240712908046,,,,,,,
18.5,1.19806548250725,43.4421428889757,2.68314743190627,1978.15214214735,0.00731204779403543,0.077415386135739,0.0308673951952171,,,0.80695933463798,2.68094969531992,1.23921981824353,4.11704264582906,0.336968542934062,1.11950587066045,5.0681322229
,,,,,,,,43.648389941106,1.89902251872942,,,,,,,
19.5,1.18520362351644,43.8546369932363,2.68809708999146,1977.73964804309,0.00738147753217749,0.077415386135739,0.031266973492067,,,5.38209704677004,2.73031699791069,0.185801183313878,0.0942562210650296,0.0497868823009814,0.0252566926679493,5.3380710946
,,,,,,,,49.030486987876,1.96171975124853,,,,,,,
20.5,0.862430269419655,54.2063369825158,2.85788585575664,1967.38794805381,0.00912384381610074,0.077415386135739,0.0431783243796863,,,5.78577731412074,2.8232900855265,0.172837623314573,0.0843397043849332,0.0562656155302569,0.027455974514422,5.63482017165
,,,,,,,,54.8162643019968,2.03042422281494,,,,,,,
21.5,0.824394335830383,55.4261916214778,2.88495728457818,1966.16809341485,0.00932916599472029,0.077415386135739,0.044852308439464,,,-0.933897676255235,2.86200703981035,-1.070781120272,3.28149772960451,-0.349522394903989,1.0711404260023,5.9607994088
,,,,,,,,53.8823666257415,2.01704282833319,,,,,,,
22.5,0.920669454415408,52.3385416300053,2.81972845350058,1969.25574340632,0.00880946225067157,0.077415386135739,0.0407354552671915,,,-3.92652193326892,2.81615519996134,-0.254678317603966,0.182658770440312,-0.0847790229005201,0.0608046740210556,6.29045183145
,,,,,,,,49.9558446924726,1.96526546271463,,,,,,,
23.5,1.06925781828222,47.57314775494,2.73828501151267,1974.02113728138,0.0080073658195417,0.077415386135739,0.0351108208406847,,,2.26114041868861,2.80484437903277,0.442254709939672,0.548597348056111,0.146418628521979,0.181625813152171,6.6224317174
,,,,,,,,52.2169851111612,2.00122054048343,,,,,,,
24.5,0.779661527644005,56.8608224673825,2.91913168636432,1964.73346256894,0.00957063864349966,0.077415386135739,0.0469042659351991,,,4.95062165024406,2.878910292883,0.201994834315545,0.117465047564592,0.0609712275800998,0.0354562935831317,6.93889099655
,,,,,,,,57.1676067614053,2.06959919376069,,,,,,,
25.5,0.760530023510675,57.4743910554281,2.93455848279146,1964.1198939809,0.00967391261992789,0.077415386135739,0.0478102421765419,,,0.843097107954932,2.93779295932981,1.18610298928158,4.13300553171596,0.371651490372268,1.29502891355956,7.24648288455
,,,,,,,,58.0107038693602,2.08503876440533,,,,,,,
26.5,0.727084795001881,58.5470166832924,2.96275431100324,1963.04726835303,0.00985445366450978,0.077415386135739,0.0494363907217576,,,1.28729948382998,2.96636973317812,0.776820011629922,1.79005382940899,0.233575206140385,0.538235609210566,7.55349265405
,,,,,,,,59.2980033531902,2.10996747483044,,,,,,,
27.5,0.680252200051114,60.048990023088,3.00498550279382,1961.54529501324,0.0101072611946084,0.077415386135739,0.0518067367558453,,,7.82350819553122,3.15563866368048,0.127819895500487,0.0515565899783078,0.0398446787437454,0.0160714868116979,7.85969586055
,,,,,,,,67.1215115487214,2.34650647364817,,,,,,,
28.5,0.239199716475557,74.1940330743548,3.60477914045924,1947.40025196197,0.0124881113083766,0.077415386135739,0.0805268214600824,,,8.94521159829688,3.52791440786194,0.111791654005188,0.0440896654606482,0.0339336594405205,0.013383143007426,8.1673303279
,,,,,,,,76.0667231470183,2.63440456997916,,,,,,,
29.5,0.122416104786013,77.9394132196818,3.8426445453383,1943.65487181664,0.0131185221676993,0.077415386135739,0.0905026431370396,,,3.24743811105731,3.83676931070783,0.307935044734207,0.363817781562889,0.100673959909141,0.118943840207955,8.482568437
,,,,,,,,79.3141612580756,2.78939264092783,,,,,,,
30.5,0.0366848653084589,80.6889092964695,4.04436992858359,1940.90537573985,0.0135813088855269,0.077415386135739,0.0986164861399745,,,8.61033041314292,4.43193483442735,0.116139561668108,0.0597797000015624,0.0385207014696818,0.0198274898289,8.8118726478
,,,,,,,,87.9244916712185,3.4440289010617,,,,,,,
31.5,-0.414536324324158,95.1600740459676,5.57569835681251,1926.43421099036,0.016017050799873,0.077415386135739,0.154840583646365,,,9.70993968606389,5.44451593843229,0.102987251448662,0.0577465720793647,0.0310355087202564,0.0174020979890645,9.1283870904
,,,,,,,,97.6344313572824,4.21680195556953,,,,,,,
32.5,-0.568840759235159,100.108788668597,6.3275005147229,1921.48549636773,0.0168500032150471,0.077415386135739,0.180689319947686,,,10.3884494527167,7.20886619467664,0.0962607561938403,0.0667983142583719,0.0293005633117267,0.0203325665975735,9.43125725975
,,,,,,,,108.022880809999,5.84690799314104,,,,,,,
33.5,-1.06237478123285,115.936972951401,9.83402611127343,1905.65731208492,0.0195141544808916,0.077415386135739,0.296056054016355,,,12.8777599020889,10.09388339391,0.07765325705737,0.0608664028413259,0.0227476799868339,0.0178301529935993,9.7299205508
,,,,,,,,120.900640712088,8.22801002002285,,,,,,,
34.5,-1.37191614997387,125.864308472775,13.194412681176,1895.72997656355,0.0211850930435962,0.077415386135739,0.403506118042783,,,9.92733552137399,11.636163361658,0.100731963561316,0.118071317446298,0.0305776492641388,0.0358410896143215,10.02816742325
,,,,,,,,130.827976233462,8.22801002002285,,,,,,,
