"zi","mi","ln(Ci)","Time (yr)","Date (yr)","Time Uncertainty (yr)"
0.5,0.11305196145,2.41510915824143,0,2021.59428503632,0
1.5,0.3634480695,2.34197531024519,2.22373941157308,2019.37054562475,0.100036810211053
2.5,0.64255289735,2.36691054880947,4.44747882314616,2017.14680621318,0.200073620422106
3.5,0.9304907945,2.39180754589183,6.67121823471924,2014.9230668016,0.300110430633159
4.5,1.22447786695,2.37141545642354,8.89495764629232,2012.69932739003,0.400147240844211
5.5,1.51966173985,2.2843685594317,11.1186970578654,2010.47558797846,0.500184051055264
6.5,1.81158780985,2.27107612331597,13.3424364694385,2008.25184856688,0.600220861266317
7.5,2.0974987264,2.13904598313721,15.5661758810116,2006.02810915531,0.70025767147737
8.5,2.3806154863,1.8092272585428,17.7899152925846,2003.80436974374,0.800294481688423
9.5,2.6623554754625,1.73193938563436,20.0136547041577,2001.58063033217,0.900331291899476
10.5,2.94054385495,1.65398720039618,22.2373941157308,1999.35689092059,1.00036810211053
11.5,3.2151806247625,1.57531040792092,24.4611335273039,1997.13315150902,1.10040491232158
12.5,3.4862657849,1.49584209188849,26.684872938877,1994.90941209745,1.20044172253263
13.5,3.7557439382,1.64172074470816,28.90861235045,1992.68567268587,1.30047853274369
14.5,4.02784839365,1.6839550725569,31.1323517620231,1990.4619332743,1.40051534295474
15.5,4.29883606655,1.61082581695198,33.3560911735962,1988.23819386273,1.50055215316579
16.5,4.5676324342,1.45905714333975,35.5798305851693,1986.01445445115,1.60058896337685
17.5,4.83844505435,1.23552675330779,37.8035699967424,1983.79071503958,1.7006257735879
18.5,5.11012795555,1.19806548250725,40.0273094083154,1981.56697562801,1.80066258379895
19.5,5.38006682725,1.18520362351644,42.2510488198885,1979.34323621643,1.90069939401
20.5,5.6768159043,0.862430269419655,44.4747882314616,1977.11949680486,2.00073620422106
21.5,6.00279514145,0.824394335830383,46.6985276430347,1974.89575739329,2.10077301443211
22.5,6.3324475641,0.920669454415408,48.9222670546078,1972.67201798172,2.20080982464316
23.5,6.66442745005,1.06925781828222,51.1460064661809,1970.44827857014,2.30084663485422
24.5,6.99043522293333,0.958019671387531,53.3697458777539,1968.22453915857,2.40088344506527
25.5,7.30631238358333,0.844095855480766,55.593485289327,1966.000799747,2.50092025527632
26.5,7.612058932,0.727084795001881,57.8172247009001,1963.77706033542,2.60095706548737
27.5,7.9182621385,0.680252200051114,66.7505725536297,1954.84371248269,4.76969023203623
28.5,8.22589660585,0.239199716475557,75.6839204063592,1945.91036462996,5.40802635954004
29.5,8.54113471495,0.122416104786013,84.6172682590888,1936.97701677723,6.04636248704385
30.5,8.87043892575,0.0366848653084589,93.5506161118184,1928.0436689245,6.68469861454766
31.5,9.18695336835,-0.414536324324158,102.483963964548,1919.11032107178,7.32303474205147
32.5,9.4898235377,-0.568840759235159,111.417311817278,1910.17697321905,7.96137086955528
33.5,9.78848682875,-1.06237478123285,120.350659670007,1901.24362536632,8.59970699705909
34.5,10.0867337012,-1.37191614997387,129.284007522737,1892.31027751359,9.2380431245629
