"Top of Interval z(i) (cm)","Mid Depth zi (cm)","Inventory delta Ai dpm/cm^2","Inventory Uncertainty u(delta Ai) dpm/cm^2","Inventory Below A(i) dpm/cm^2","Inventory Below Uncertainty u(A(i)) dpm/cm^2","Age t(i) yr","Age Uncertainty u(t(i)) yr","Year CE","Mass Accumulation Rate r(i) g/(cm^2 yr)","Mass Accumulation Rate Uncertainty u(r(i)) g/(cm^2 yr)","Dry Bulk Density Section ri g/cm^3","Dry Bulk Density Section Uncertainty u(ri) g/cm^3","Dry Bulk Density Layer r(i) g/cm^3","Dry Bulk Density Layer Uncertainty u(r(i)) g/cm^3","Sediment Accumulation Rate s(i) cm/yr","Sediment Accumulation Rate Uncertainty U(s(i)) cm/yr"
19,,,,8.69167153248811,0.176661508687689,53.636524666222,0.619255259478622,1967.9577603701,0.0823114045653011,0.00250314062195489,,,0.2699388717,0.00341379448351941,0.304926089551041,0.0100428636909246
,19.5,0.876584625557558,0.031546748826676,,,,,,,,0.2679578322,0.00477484530653728,,,,
20,,,,7.81508690693055,0.173822010373477,57.0459783997874,0.682745290448265,1964.54830663654,0.0864072928588613,0.00297018286273943,,,0.29674907705,0.00338592187420881,0.291179651569067,0.0105460747791486
,20.5,0.771175982818938,0.0351875273966119,,,,,,,,0.3255403219,0.00480194960944216,,,,
21,,,,7.04391092411162,0.170223174703064,60.3779275387541,0.74725349644761,1961.21635749757,0.094478287111445,0.00375675529575515,,,0.32597923715,0.00336913615745689,0.289829155799793,0.0119074645886987
,21.5,0.744396312680625,0.035085090844235,,,,,,,,0.3264181524,0.00472711262170807,,,,
22,,,,6.29951461143099,0.166568201066234,63.9599806969661,0.822732249271662,1957.63430433936,0.081988759188741,0.00332000320523012,,,0.32965242265,0.00333082973592347,0.248712745775239,0.0103800173604269
,22.5,0.835868768205688,0.0360316528457443,,,,,,,,0.3328866929,0.00469383778805108,,,,
23,,,,5.4636458432253,0.162624369636427,68.5255047473563,0.931265808497884,1953.06878028897,0.0628150704648734,0.00253315218246331,,,0.33197988595,0.00327021270010033,0.189213482874484,0.00785478311540627
,23.5,0.964487576762503,0.0363706871337777,,,,,,,,0.331073079,0.00455467355965867,,,,
24,,,,4.4991582664628,0.158505074735991,74.7545475484747,1.10704991620564,1946.83973748785,0.0550798231313146,0.00251002450050142,,,0.31645927915,0.00323606770130081,0.17405027047795,0.00812882634967023
,24.5,0.658244706212753,0.03246203608032,,,,,,,,0.3018454793,0.0045982045881578,,,,
25,,,,3.84091356025005,0.155145334865674,79.8275585026349,1.27265515103726,1941.76672653369,0.0554437142427417,0.0029242915366609,,,0.307591888,0.00329626294944418,0.180250898693212,0.00970129924362704
,25.5,0.670359040713111,0.0336058781785502,,,,,,,,0.3133382967,0.00472418377002402,,,,
26,,,,3.17055451953693,0.151461942026473,85.9789176438422,1.50844936866327,1935.61536739248,0.0469817347887213,0.00277657766770696,,,0.3070097695,0.00341016436454564,0.153030096941984,0.00920229229953527
,26.5,0.622121557019756,0.032395854536485,,,,,,,,0.3006812423,0.00491924503149718,,,,
27,,,,2.54843296251718,0.147956846719851,92.984141546174,1.83615172563516,1928.61014349015,0.0393043673903021,0.0026887562180086,,,0.3062032065,0.00357784252251595,0.128360404319614,0.00890812245122567
,27.5,0.615462573141308,0.0334952132020155,,,,,,,,0.3117251707,0.00519661974592942,,,,
28,,,,1.93297038937587,0.144115575784968,101.849262489049,2.36144991275089,1919.74502254727,0.0371517252874389,0.00323358575736746,,,0.30763446735,0.00366353408777283,0.120765808875281,0.0106090607094311
,28.5,0.385571062398467,0.0317344981090502,,,,,,,,0.303543764,0.00516537232591326,,,,
29,,,,1.5473993269774,0.140578166205139,108.984514197934,2.88129291073112,1912.60977083839,0.0401998616628685,0.00438787545793113,,,0.3152381091,0.00358800007085105,0.127522214168961,0.0139947123744122
,29.5,0.369507002785506,0.0339119749237458,,,,,,,,0.3269324542,0.00498135591665543,,,,
30,,,,1.1778923241919,0.136426532501456,117.735084464999,3.67884341333123,1903.85920057132,0.0338878780691608,0.00453367976003177,,,0.3293042108,0.00356954033792817,0.102907515172171,0.0138125674294846
,30.5,0.344069391262701,0.0343431283744176,,,,,,,,0.3316759674,0.0051139579708859,,,,
31,,,,0.833822932929197,0.132033133356098,128.814398778516,5.03768841278112,1892.77988625781,0.0306230837640923,0.00550891670194564,,,0.3165144426,0.00356415498654332,0.0967509839757696,0.0174390108283135
,31.5,0.199087761085348,0.031000946252618,,,,,,,,0.3013529178,0.00496590746434315,,,,
32,,,,0.634735171843849,0.128342080531958,137.563821436686,6.44079333135528,1884.03046359964,0.0322644972238219,0.00755424722090372,,,0.30287016935,0.00358056038165424,0.106529135216802,0.0249739712395552
,32.5,0.172338495795895,0.0312764497318698,,,,,,,,0.3043874209,0.00515959432923451,,,,
33,,,,0.462396676047954,0.124472781472261,147.723459625982,8.58567203778494,1873.87082541034,0.0316245067803016,0.00988360247437659,,,0.29866329105,0.00367243007797233,0.105886822143828,0.0331183963158524
,33.5,0.101249742752586,0.0300300007288937,,,,,,,,0.2929391612,0.00522738529937429,,,,
34,,,,0.361146933295368,0.120795994899102,155.649457362057,10.6777959990899,1865.94482767427,0.0375827527026406,0.0155061169312016,,,0.29824687245,0.00370628803136665,0.126012227366915,0.0520144559969667
,34.5,0.0769876709731338,0.0310935789234554,,,,,,,,0.3035545837,0.00525554248557579,,,,
35,,,,0.284159262322234,0.116725583028721,,,,,,,,,,,
