"Mid Depth zi (cm)","Total Pb-210 dmp/g","Total Pb-210 Uncertainty u(Pb-210) dmp/g","Supported Pb-210 dmp/g","Supported Pb-210 Uncertainty u(sPb-210) dmp/g","Excess Pb-210 Ci dmp/g","Excess Pb-210 Uncertainty u(Ci) dmp/g","Excess Pb-210 C(i) dmp/g","Excess Pb-210 Uncertainty u(C(i)) dmp/g","Inventory delta Ai dpm/cm^2","Inventory Uncertainty u(delta Ai) dpm/cm^2","Mass Depth mi (g/cm^2)","ln(Ci)","u(ln(Ci))"
,,,,,,,13.0168313392064,1.04638451092147,,,,,
0.5,11.8909918798753,0.072182090464957,0.414199268595485,0.149578089494062,11.4767926112798,0.166083891574664,,,2.5949478317201,0.0671067530094427,0.11305196145,2.44032696259363,0.0144712810625706
,,,,,,,11.0821781673575,0.117439046088408,,,,,
1.5,11.1017629920307,0.0721820911815587,0.414199268595485,0.149578089494062,10.6875637234352,0.166083891886108,,,2.93574863765666,0.0649123130541664,0.3634480695,2.36908079667179,0.0155399206202557
,,,,,,,10.818879333418,0.310956645081291,,,,,
2.5,11.3643942119963,0.580360815769051,0.414199268595485,0.149578089494062,10.9501949434008,0.599326523138107,,,3.10461418999362,0.173456193866279,0.64255289735,2.39335725915434,0.0547320414144126
,,,,,,,11.0846170490704,0.310956644996149,,,,,
3.5,11.6332384233355,0.0721820897144183,0.414199268595485,0.149578089494062,11.21903915474,0.166083891248471,,,3.27993581742597,0.0714401868036149,0.9304907945,2.41761225959507,0.0148037535975887
,,,,,,,11.1086922920701,0.11743904589962,,,,,
4.5,11.4125446979957,0.0721820907034762,0.414199268595485,0.149578089494062,10.9983454294002,0.166083891678327,,,3.25132772041399,0.0708126159310132,1.22447786695,2.39774484597575,0.0151008070026934
,,,,,,,10.5518150031758,0.117439046714468,,,,,
5.5,10.5194838455469,0.0721820950173946,0.414199268595485,0.149578089494062,10.1052845769514,0.166083893553209,,,2.97851274893008,0.0686532065998904,1.51966173985,2.31305851245325,0.0164353504632636
,,,,,,,10.0404539789569,0.117439047671474,,,,,
6.5,10.3898226495578,0.0721820969316068,0.414199268595485,0.149578089494062,9.97562338096231,0.166083894385149,,,2.88399369231412,0.0682029108176002,1.81158780985,2.3001444551553,0.0166489740081915
,,,,,,,9.37637850053744,0.11743904939605,,,,,
7.5,9.19133288870805,0.0721821062408162,0.414199268595485,0.149578089494062,8.77713362011256,0.166083898431046,,,2.48145125612095,0.0635574589878213,2.0974987264,2.17214988738752,0.0189223390709775
,,,,,,,7.58433090579435,0.117439052904545,,,,,
8.5,6.80572746007163,0.0721821197646495,0.414199268595485,0.149578089494062,6.39152819147614,0.166083904308671,,,1.81209919007974,0.0565194848741951,2.3806154863,1.85497339339242,0.0259850069237218
,,,,,,,6.16446642459449,0.207859556473629,,,,,
9.5,6.35160392630832,0.350520916269699,0.414199268595485,0.149578089494062,5.93740465771283,0.381101715555366,,,1.66226065200403,0.109149216847509,2.6623554754625,1.78127211158347,0.0641865827791113
,,,,,,,5.72549396653378,0.256255504174358,,,,,
10.5,5.92778254395022,0.308310575917664,0.414199268595485,0.149578089494062,5.51358327535473,0.342679173687832,,,1.52402374868798,0.0966693677791037,2.94054385495,1.70721473400291,0.0621518088281317
,,,,,,,5.31581267904211,0.249685637827648,,,,,
