"zi","mi","ln(Ci)","Time (yr)","Date (yr)","Time Uncertainty (yr)"
0.5,0.11305196145,2.41510915824143,0,2021.59428503632,0
1.5,0.3634480695,2.34197531024519,2.29943201567022,2019.29485302065,0.096617338752758
2.5,0.64298113365,2.44797581633566,4.59886403134044,2016.99542100498,0.193234677505516
3.5,0.9313472671,2.39180754589183,6.89829604701066,2014.69598898931,0.289852016258274
4.5,1.22533433955,2.37141545642354,9.19772806268087,2012.39655697364,0.386469355011032
5.5,1.52051821245,2.2843685594317,11.4971600783511,2010.09712495797,0.48308669376379
6.5,1.81244428245,2.27107612331597,13.7965920940213,2007.7976929423,0.579704032516548
7.5,2.098355199,2.13904598313721,16.0960241096915,2005.49826092663,0.676321371269306
8.5,2.3814719589,1.8092272585428,18.3954561253617,2003.19882891096,0.772938710022064
9.5,2.6552368568,1.81656287248271,20.694888141032,2000.89939689529,0.869556048774822
10.5,2.9218481233,1.75044645940703,22.9943201567022,1998.59996487962,0.96617338752758
11.5,3.18303388175,1.5063348904381,25.2937521723724,1996.30053286395,1.06279072628034
12.5,3.44427005225,1.49584209188849,27.5931841880426,1994.00110084828,1.1594080650331
13.5,3.71374820555,1.64172074470816,29.8926162037128,1991.70166883261,1.25602540378585
14.5,3.985852661,1.6839550725569,32.1920482193831,1989.40223681694,1.35264274253861
15.5,4.2568403339,1.61082581695198,34.4914802350533,1987.10280480127,1.44926008129137
16.5,4.52563670155,1.45905714333975,36.7909122507235,1984.8033727856,1.54587742004413
17.5,4.7964493217,1.23552675330779,39.0903442663937,1982.50394076993,1.64249475879689
18.5,5.0681322229,1.19806548250725,41.3897762820639,1980.20450875426,1.73911209754964
19.5,5.3380710946,1.18520362351644,43.6892082977342,1977.90507673859,1.8357294363024
20.5,5.63482017165,0.862430269419655,45.9886403134044,1975.60564472292,1.93234677505516
21.5,5.9607994088,0.824394335830383,48.2880723290746,1973.30621270725,2.02896411380792
22.5,6.29045183145,0.920669454415408,50.5875043447448,1971.00678069158,2.12558145256068
23.5,6.6224317174,1.06925781828222,52.886936360415,1968.70734867591,2.22219879131343
24.5,6.93889099655,0.779661527644005,55.1863683760852,1966.40791666024,2.31881613006619
25.5,7.24648288455,0.760530023510675,57.4858003917555,1964.10848464457,2.41543346881895
26.5,7.55349265405,0.727084795001881,59.7852324074257,1961.8090526289,2.51205080757171
27.5,7.85969586055,0.680252200051114,68.7185802601552,1952.87570477617,4.91031505030045
28.5,8.1673303279,0.239199716475557,77.6519281128848,1943.94235692344,5.54865117780426
29.5,8.482568437,0.122416104786013,86.5852759656144,1935.00900907071,6.18698730530807
30.5,8.8118726478,0.0366848653084589,95.518623818344,1926.07566121798,6.82532343281188
31.5,9.1283870904,-0.414536324324158,104.451971671074,1917.14231336525,7.46365956031569
32.5,9.43125725975,-0.568840759235159,113.385319523803,1908.20896551252,8.1019956878195
33.5,9.7299205508,-1.06237478123285,122.318667376533,1899.27561765979,8.74033181532331
34.5,10.02816742325,-1.37191614997387,131.252015229262,1890.34226980706,9.37866794282712
